"tipo","tipo_id","sitio_id","sitio_nm"
ACANTILADO,ddc604ee-a9f0-4b4f-a45f-20db94f9a3ea,"1f8cdf48-3b22-4ae4-b55e-171a4e6a814f",BARTOLOMÉ PUNTA
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","1f8cdf48-3b22-4ae4-b55e-171a4e6a814f",BARTOLOMÉ PUNTA
CRÁTER,"1cfefd80-751f-469d-8035-4e8065ab9c05",aa699e66-a13b-4c20-8dc7-8acd76038393,VOLCÁN ALCEDO
ROCA,"820d7f0c-cf83-4f38-af12-cf877f168e3a",b8f62bbd-761e-484f-8b4e-6531d74a2e8a,ANCHOR BAY
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","0695bf21-7f00-0010-a1d9-0000d0f4f6ab",PLAYA NORTE CERRO BRUJO
PUNTA ,"04bb8c50-7f00-0010-3efb-0000e99dce4a","16357c10-3093-11e5-afe0-6c3be5ba6ec8",PUNTA MANGLE
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","010c8a61-7f00-0010-1180-000058320979",BARTOLOMÉ
PUNTA ,"04bb8c50-7f00-0010-3efb-0000e99dce4a",f438a4fc-a8e3-11e4-b961-6c3be5ba6ec8,PUNTA MONTALVO
ACANTILADO,ddc604ee-a9f0-4b4f-a45f-20db94f9a3ea,f436cf6a-a8e3-11e4-bdfb-6c3be5ba6ec8,LAS GRIETAS
BAJO,"0c0c47e4-7f00-0010-7080-0000fa1d1680","0a9404c4-7f00-0010-5895-0000234d4c5c",LA HORTENSIA
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828",dbfc417c-1a3f-43fb-9358-5261a5ac3872,ARENERO DE EL FARO
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",dbfc417c-1a3f-43fb-9358-5261a5ac3872,ARENERO DE EL FARO
ROCA,"820d7f0c-cf83-4f38-af12-cf877f168e3a",bc633b68-8a51-443a-b1ba-0837f4e02f3f,LA VIUDA
PUNTA ,"04bb8c50-7f00-0010-3efb-0000e99dce4a","8eb1e9ef-dca3-44cd-b371-566a6a0d9b29",PUNTA OESTE TORTUGA BAY
ISLOTE,"4b4ed12a-4fa8-42d9-8121-b588e72f7cee",e7fbeb24-686b-41c0-9411-9bc567e7d29e,DAPHNE MAYOR
ROCA,"820d7f0c-cf83-4f38-af12-cf877f168e3a",f4339e58-a8e3-11e4-b466-6c3be5ba6ec8,EL DERRUMBE
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","82d12c0b-8b33-4f2e-81e7-b16b8ed0a901",BAHÍA BALLENA
PARED,"0f5168f7-7f00-0010-7080-00002ff0e4b1",b83bbd83-74f8-4d31-92fe-c49356e68e42,ISLOTE GARDNER
BAJO,"0c0c47e4-7f00-0010-7080-0000fa1d1680","4cb3ffc4-f923-4b4f-84fe-b7a95dd52a8a",LOBERÍA GRANDE II
CUEVA,"1c23b1e8-6f2c-48ad-b37e-ddcb946ff43e",f433c0d6-a8e3-11e4-ba2f-6c3be5ba6ec8,MIRADOR DE LOS TÚNELES
CERRO,"5a7d93e3-34e5-4c8f-acef-2c012c2315c2",eb5415d2-ce28-4697-8268-19a5c3e9b65a,PUNTUDO CERRO CROCKER
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",a6052e41-ef39-4648-a5f0-cbfbcf28d260,BAHÍA DARWIN
ISLOTE,"4b4ed12a-4fa8-42d9-8121-b588e72f7cee","069a4303-7f00-0010-2fd3-000035981d65",ROCA TORTUGA
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011","9a95afef-e3b4-4e7f-969e-b08651d5d89c",BALTRA NE
ISLOTE,"4b4ed12a-4fa8-42d9-8121-b588e72f7cee","9a95afef-e3b4-4e7f-969e-b08651d5d89c",BALTRA NE
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4",f439ca9e-a8e3-11e4-b345-6c3be5ba6ec8,RESERVA EL CHATO
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","5f0d5004-fa42-4945-9de1-356c18fd673c",SANTA FE/FONDEADERO
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","5f0d5004-fa42-4945-9de1-356c18fd673c",SANTA FE/FONDEADERO
BARRANCO,"0c177e29-7f00-0010-7080-000052020abd","9cf86800-858f-483a-bfee-a88142feeff3",SEYMOUR NE
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","5c831bf6-14ae-11e5-850a-6c3be5ba6ec8",BAHÍA CARTAGO GRANDE
ACANTILADO,ddc604ee-a9f0-4b4f-a45f-20db94f9a3ea,"017e89a8-7f00-0010-5895-0000bbbbaa04",PISCINA NATURAL
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","0ecc9673-7f00-0010-89c3-00009792fc87",PLAYA EDEN
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828",f8d57b6c-3d11-451d-b237-ad26f21b22ed,BAHÍA ELIZABETH
CUEVA,"1c23b1e8-6f2c-48ad-b37e-ddcb946ff43e","0a855053-7f00-0010-5895-000033d7030d",CUEVA BAHÍA NAUFRAGIO 
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","0eaef95f-bb4e-478c-b13a-444d9174b3fc",MINAS DE SAL
ACANTILADO,ddc604ee-a9f0-4b4f-a45f-20db94f9a3ea,"91980c39-c131-4b41-8b9a-302ad8654134",EL CAÑÓN
FUMAROLA,f3afded1-0dc4-4a65-b8c4-20ed93def5e7,f43731c6-a8e3-11e4-81cc-6c3be5ba6ec8,MINAS DE AZUFRE
BARRANCO,"0c177e29-7f00-0010-7080-000052020abd",a4932cf3-0f87-4f59-8d5a-8fd2925d0c4b,EL BARRANCO - ISLA SANTA CRUZ
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","38aa7673-863f-496d-b450-a13bfb55b00e",TINTORERAS
ISLOTE,"4b4ed12a-4fa8-42d9-8121-b588e72f7cee","38aa7673-863f-496d-b450-a13bfb55b00e",TINTORERAS
BAJO,"0c0c47e4-7f00-0010-7080-0000fa1d1680","0a8ad7b7-7f00-0010-5895-00005f7d0064",BAJO DE CERRO MUNDO 
FONDO ROCOSO,"0bdcf7ab-7f00-0010-7080-0000b1c557ba","0ed8c0ef-7f00-0010-89c3-00008a01a90a",MOSQUERA NORTE
ROCA,"820d7f0c-cf83-4f38-af12-cf877f168e3a",b5a4343a-160d-11e5-80ee-6c3be5ba6ec8,PIEDRA AHOGADA
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4",f4374328-a8e3-11e4-87ac-6c3be5ba6ec8,MIRADOR DE LA BARONESA
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",f430dfc4-a8e3-11e4-8bad-6c3be5ba6ec8,BAHÍA ROSA BLANCA
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","4e68cc28-132c-49f2-8460-034df60fc43c",PLAYA LAS BACHAS
FONDO ROCOSO,"0bdcf7ab-7f00-0010-7080-0000b1c557ba","0ed90edb-7f00-0010-89c3-00008d9bfb9f",MOSQUERA SUR
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","0ed90edb-7f00-0010-89c3-00008d9bfb9f",MOSQUERA SUR
PUNTA ,"04bb8c50-7f00-0010-3efb-0000e99dce4a","0a90d1b7-7f00-0010-5895-000042651284",PUNTA ESTE LOBERIA GRANDE
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","204ad883-f11e-49c8-a48d-ab3197d157c7",BAHIA POST OFFICE
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","204ad883-f11e-49c8-a48d-ab3197d157c7",BAHIA POST OFFICE
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","889bb4e3-9c1b-49ab-8048-68fd46c4cdab",BAHÍA SULLIVAN
ROCA,"820d7f0c-cf83-4f38-af12-cf877f168e3a","889bb4e3-9c1b-49ab-8048-68fd46c4cdab",BAHÍA SULLIVAN
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","06767127-7f00-0010-2fd3-000099ea2a4b",LAS CUEVAS
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","0a9108c7-7f00-0010-2fd3-00006346b6b4",LOBERÍA GRANDE
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",f4379daa-a8e3-11e4-b836-6c3be5ba6ec8,PLAYA DE LA ESTACIÓN CHARLES DARWIN
BAJO,"0c0c47e4-7f00-0010-7080-0000fa1d1680","0cf6ce71-7f00-0010-a74e-0000b80d1e93",PALMAS GRANDES
ACANTILADO,ddc604ee-a9f0-4b4f-a45f-20db94f9a3ea,"0ee1f49f-7f00-0010-89c3-000067347878",PLAYA NORTE CERRO BRUJO
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","0ee1f49f-7f00-0010-89c3-000067347878",PLAYA NORTE CERRO BRUJO
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","0688ab23-7f00-0010-0820-000099318f94",SENDERO IGUANA
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011","6de11aec-160c-11e5-80ee-6c3be5ba6ec8",LA TORTUGA
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828",f43119c6-a8e3-11e4-be28-6c3be5ba6ec8,BAHÍA URBINA
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",f43119c6-a8e3-11e4-be28-6c3be5ba6ec8,BAHÍA URBINA
BAJO,"0c0c47e4-7f00-0010-7080-0000fa1d1680","49552ae8-9794-4578-a8d4-1400bee6da4f",LA ANGELITA
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","928a78b1-47f7-4692-bc70-1cf48ee2b1f0",LA RATONERA
PUERTO,"55aa447a-b751-11e6-9347-000c29e38a2f",ccdf327b-cebd-4a30-8414-9a8a9e06b161,GUAYAQUIL
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4",d7379bb6-faa0-4d4b-bcd4-29b9c71a14ab,PLAYA DE LOS PERROS
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",d7379bb6-faa0-4d4b-bcd4-29b9c71a14ab,PLAYA DE LOS PERROS
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","06885e6f-7f00-0010-2fd3-0000b60bf137",PUNTA CEVALLOS
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","18e57ba6-cfc7-4574-9966-dcf4269e5f7f",VOLCÁN SIERRA NEGRA/VOLCÁN CHICO
CRÁTER,"1cfefd80-751f-469d-8035-4e8065ab9c05","18e57ba6-cfc7-4574-9966-dcf4269e5f7f",VOLCÁN SIERRA NEGRA/VOLCÁN CHICO
ISLOTE,"4b4ed12a-4fa8-42d9-8121-b588e72f7cee","5f469b33-a217-4ad9-9b53-ff1295bf776f",BAJO GARDNER
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","241242c3-f6ac-4322-a2e4-cc4d3eba79a4",PLAYA ESPUMILLA
PUNTA ,"04bb8c50-7f00-0010-3efb-0000e99dce4a","9c731f45-1987-4174-a84d-7cb8ad9115d4",PUNTA MORENO
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","08d71182-7f00-0010-b04c-000080ea0386",RUTA PLAYA LA ESTACIÓN 
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","0692bbfc-7f00-0010-2fd3-0000173cc7a2",MANZANILLO
MANGLAR,"7c479265-6c83-4146-a165-3709300983f5","053a64ce-7f00-0010-8ab6-0000ec06de3d",RUTA POZA DE LAS DIABLAS
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011","08db12e3-7f00-0010-b04c-00001d6d7023",RUTA CANAL DE ITABACA ZONA OESTE
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","33d0d675-328d-4f00-a266-64879f2a4742",PUNTA ALBERMARLE
ACANTILADO,ddc604ee-a9f0-4b4f-a45f-20db94f9a3ea,"30a23830-1a52-4462-944c-915c5aca1e3c",CABO CHALMERS
ISLOTE,"4b4ed12a-4fa8-42d9-8121-b588e72f7cee","30a23830-1a52-4462-944c-915c5aca1e3c",CABO CHALMERS
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",f4392c10-a8e3-11e4-b954-6c3be5ba6ec8,PUERTO GRANDE
BAJO,"0c0c47e4-7f00-0010-7080-0000fa1d1680","299fe007-2a39-495c-8208-a94a41f36224",PUNTA ARGERMEYER
ACANTILADO,ddc604ee-a9f0-4b4f-a45f-20db94f9a3ea,e8036232-4cc7-46d6-ae11-a822c7448d7e,CABO DOUGLAS
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36",e8036232-4cc7-46d6-ae11-a822c7448d7e,CABO DOUGLAS
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","0971f5aa-7f00-0010-3efb-0000a4f101bb",RUTA PUERTO GRANDE
ACANTILADO,ddc604ee-a9f0-4b4f-a45f-20db94f9a3ea,"9361abc2-97ab-49d5-83e5-54cb82df7e3b",CABO IBBETSON
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","9361abc2-97ab-49d5-83e5-54cb82df7e3b",CABO IBBETSON
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","097c400b-7f00-0010-3efb-0000eb259380",RUTA MANGLECITO
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","097c400b-7f00-0010-3efb-0000eb259380",RUTA MANGLECITO
ACANTILADO,ddc604ee-a9f0-4b4f-a45f-20db94f9a3ea,cf0492d7-13d2-44fd-8cf8-46efe821e365,CABO MARSHALL
CERRO,"5a7d93e3-34e5-4c8f-acef-2c012c2315c2",cf0492d7-13d2-44fd-8cf8-46efe821e365,CABO MARSHALL
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","097fb91e-7f00-0010-3efb-0000bdc8bc47",RUTA PLAYA OCHOA
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","097fb91e-7f00-0010-3efb-0000bdc8bc47",RUTA PLAYA OCHOA
MANGLAR,"7c479265-6c83-4146-a165-3709300983f5","38fe4fc9-6e8f-4939-a959-17f1de9868f3",CALETA TORTUGA NEGRA
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","0983f046-7f00-0010-3efb-00006f2a2c42",RUTA PUNTA ESTRADA
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","0983f046-7f00-0010-3efb-00006f2a2c42",RUTA PUNTA ESTRADA
FONDEADERO,"5f3a4546-2cd0-4da2-957b-373955010cd6","1d90de97-1d20-42c0-bd40-b632a7c49baf",PUERTO POSADA
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011",fefcbf16-d7c4-44c5-9c16-388aa35083c9,EL FINADO
INFRAESTRUCTURA,"03f749f8-7f00-0010-7080-0000885b735f","67b974c7-c889-460a-a79a-1364e6ec4d78",CENTRO DE CRIANZA ARNALDO TUPIZA
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","67b974c7-c889-460a-a79a-1364e6ec4d78",CENTRO DE CRIANZA ARNALDO TUPIZA
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","0987df61-7f00-0010-3efb-0000b7b87e4a",RUTA MUELLE MUNICIPAL
