"sitio_id","descripcion","latitud","longitud","tipo_monitoreo","dificultad","zonificacion","zona_uso_publico"
"1f8cdf48-3b22-4ae4-b55e-171a4e6a814f",BARTOLOMÉ PUNTA,-0.289917,-90.54805,MARINO,,CONSERVACIÓN,POR DETERMINAR
b8f62bbd-761e-484f-8b4e-6531d74a2e8a,ANCHOR BAY,1.391107,-91.82284,MARINO,,CONSERVACIÓN,NATURAL
"16357c10-3093-11e5-afe0-6c3be5ba6ec8",PUNTA MANGLE,-0.468204,-91.399024,MARINO,,CONSERVACIÓN,NATURAL
"010c8a61-7f00-0010-1180-000058320979",BARTOLOMÉ,-0.280525,-90.55198,TERRESTRE,,CONSERVACIÓN,NATURAL EQUIPADA
f438a4fc-a8e3-11e4-b961-6c3be5ba6ec8,PUNTA MONTALVO,0.386893,-90.46382,MARINO,,CONSERVACIÓN,CONDICIONADO
f436cf6a-a8e3-11e4-bdfb-6c3be5ba6ec8,LAS GRIETAS,-0.755341,-90.3155184,TERRESTRE,,APROVECHAMIENTO SUSTENTABLE,RECREATIVA
"0a9404c4-7f00-0010-5895-0000234d4c5c",LA HORTENSIA,-0.961467,-90.9499,MARINO,,,
dbfc417c-1a3f-43fb-9358-5261a5ac3872,ARENERO DE EL FARO,-0.969611,-90.96375,MARINO,,TRANSICIÓN,POR DETERMINAR
bc633b68-8a51-443a-b1ba-0837f4e02f3f,LA VIUDA,-0.976,-90.871111,MARINO,,CONSERVACIÓN,CONDICIONADO
e7fbeb24-686b-41c0-9411-9bc567e7d29e,DAPHNE MAYOR,-0.422647,-90.371837,MARINO,,CONSERVACIÓN,CONDICIONADO
f4339e58-a8e3-11e4-b466-6c3be5ba6ec8,EL DERRUMBE,1.375444,-91.815358,MARINO,,CONSERVACIÓN,NATURAL
"82d12c0b-8b33-4f2e-81e7-b16b8ed0a901",BAHÍA BALLENA,-0.601965,-90.5361198,TERRESTRE,ALTA,APROVECHAMIENTO SUSTENTABLE,NATURAL EQUIPADA
b83bbd83-74f8-4d31-92fe-c49356e68e42,ISLOTE GARDNER,-1.332928,-90.295442,MARINO,,CONSERVACIÓN,POR DETERMINAR
"4cb3ffc4-f923-4b4f-84fe-b7a95dd52a8a",LOBERÍA GRANDE II,-0.9621389,-90.928522,MARINO,,APROVECHAMIENTO SUSTENTABLE,RECREATIVA
f433c0d6-a8e3-11e4-ba2f-6c3be5ba6ec8,MIRADOR DE LOS TÚNELES,-0.73189982,-90.32858142,TERRESTRE,,TRANSICIÓN,CERCANA
eb5415d2-ce28-4697-8268-19a5c3e9b65a,PUNTUDO CERRO CROCKER,-0.644863,-90.3363577,TERRESTRE,MEDIA,CONSERVACIÓN,CERCANA
a6052e41-ef39-4648-a5f0-cbfbcf28d260,BAHÍA DARWIN,0.318603,-89.949113,TERRESTRE,,CONSERVACIÓN,NATURAL
c4d3df56-c76a-4ff7-9577-f95a4c350740,PUERTO SEYMOUR,,,,,,
"5b1341ce-0fb9-4a21-b805-daea1f8d8f14",BELLAVISTA,,,TERRESTRE,,,
"069a4303-7f00-0010-2fd3-000035981d65",ROCA TORTUGA,-1.357161,-89.644828,MARINO,,CONSERVACIÓN,NATURAL
"9a95afef-e3b4-4e7f-969e-b08651d5d89c",BALTRA NE,-0.411756,-90.278938,MARINO,,CONSERVACIÓN,POR DETERMINAR
f439ca9e-a8e3-11e4-b345-6c3be5ba6ec8,RESERVA EL CHATO,-0.689312,-90.4147018,TERRESTRE,,TRANSICIÓN,CERCANA
"40d54463-92e9-4e8f-baee-6ff5bc5352b2",PLAYA ROJA (C. ITABACA),,,,,,
"5f0d5004-fa42-4945-9de1-356c18fd673c",SANTA FE/FONDEADERO,-0.804394,-90.0368389,TERRESTRE,,CONSERVACIÓN,NATURAL EQUIPADA
"9cf86800-858f-483a-bfee-a88142feeff3",SEYMOUR NE,-0.388472,-90.275694,MARINO,,CONSERVACIÓN,NATURAL
f438881e-a8e3-11e4-8750-6c3be5ba6ec9,CERRO LOS PATOS,,,TERRESTRE,,,
f438881e-a8e3-12e4-8750-6c3be5ba6ec9,LA COMUNA,,,TERRESTRE,,,
"5c831bf6-14ae-11e5-850a-6c3be5ba6ec8",BAHÍA CARTAGO GRANDE,-0.632494,-90.877917,TERRESTRE,,INTANGIBLE,NATURAL EQUIPADA
"017e89a8-7f00-0010-5895-0000bbbbaa04",PISCINA NATURAL,-0.85865,-89.565767,MARINO,,,CERCANA
"0ecc9673-7f00-0010-89c3-00009792fc87",PLAYA EDEN,-0.5586083,-90.52302222222222,TERRESTRE,,,NATURAL
f8d57b6c-3d11-451d-b237-ad26f21b22ed,BAHÍA ELIZABETH,-0.596181,-91.073008,MARINO,,CONSERVACIÓN,NATURAL
"0a855053-7f00-0010-5895-000033d7030d",CUEVA BAHÍA NAUFRAGIO ,-0.894517,-89.621164,MARINO,,,
"0eaef95f-bb4e-478c-b13a-444d9174b3fc",MINAS DE SAL,-0.240476,-90.8334214,TERRESTRE,BAJA,CONSERVACIÓN,NATURAL EQUIPADA
"0a40a0fa-7f00-0010-1180-00036a496b01",BALTAZAR,,,,,,
d97161e4-ec36-4bac-b02c-fff26a2cd5ab,PLAYA LOS PULPOS,-1.26459,-90.487927,,,,
"91980c39-c131-4b41-8b9a-302ad8654134",EL CAÑÓN,-0.9040083,-89.6240361,MARINO,,TRANSICIÓN,RECREATIVA
f43731c6-a8e3-11e4-81cc-6c3be5ba6ec8,MINAS DE AZUFRE,-0.84088139,-91.1492911099999,TERRESTRE,ALTA,CONSERVACIÓN,CERCANA
